Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

NGC2324   5 10787         798 F Na    0.32      
NGC2324   5 10787         798 F Ni   -0.11      
NGC2324   5 10787         798 F Si   -0.05      
NGC2324   5 10787         798 F Ti   -0.10      
NGC2324   5 10797         799 F Ba    0.67      
NGC2324   5 10797         799 F Ca    0.14      
NGC2324   5 10797         799 F Cr   -0.05      
NGC2324   5 10797         799 F Fe   -0.17      
NGC2324   5 10797         799 F Na    0.31      
NGC2324   5 10797         799 F Ni   -0.09      
NGC2324   5 10797         799 F Si    0.02      
NGC2324   5 10797         799 F Ti   -0.14      
NGC2324   5 10828         800 F Ba    0.67      
NGC2324   5 10828         800 F Ca    0.12      
NGC2324   5 10828         800 F Cr    0.01      
NGC2324   5 10828         800 F Fe   -0.10      
NGC2324   5 10828         800 F Na    0.33      
NGC2324   5 10828         800 F Ni   -0.08      
NGC2324   5 10828         800 F Si    0.06      
NGC2324   5 10828         800 F Ti   -0.03      
NGC2324   5 30878         801 F Ba    0.60      
NGC2324   5 30878         801 F Ca    0.20      
NGC2324   5 30878         801 F Cr   -0.01      
NGC2324   5 30878         801 F Fe   -0.27      
NGC2324   5 30878         801 F Na    0.40      
NGC2324   5 30878         801 F Ni   -0.10      
NGC2324   5 30878         801 F Si    0.04      
NGC2324   5 30878         801 F Ti   -0.09      
NGC2324   5 30957         802 F Ba    0.63      
NGC2324   5 30957         802 F Ca    0.17      
NGC2324   5 30957         802 F Cr   -0.02      
NGC2324   5 30957         802 F Fe   -0.17      
NGC2324   5 30957         802 F Na    0.44      
NGC2324   5 30957         802 F Ni   -0.10      
NGC2324   5 30957         802 F Si    0.02      
NGC2324   5 30957         802 F Ti   -0.09      
NGC2477   6 36280         803 F Ba    0.44      
NGC2477   6 36280         803 F Ca   -0.03      
NGC2477   6 36280         803 F Cr   -0.03      
NGC2477   6 36280         803 F Fe    0.05      
NGC2477   6 36280         803 F Na    0.16      
NGC2477   6 36280         803 F Ni   -0.01      
NGC2477   6 36280         803 F Si    0.07      
NGC2477   6 36280         803 F Ti   -0.06      
NGC2477   6 36288         804 F Ba    0.45      
NGC2477   6 36288         804 F Ca    0.00      
NGC2477   6 36288         804 F Cr    0.03      
NGC2477   6 36288         804 F Fe    0.05      
