Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

Cr261    10 2289         1008 I Zr   -0.03 0.13 
Cr261    10 2291         1009 I Ba    0.00 0.08 
Cr261    10 2291         1009 I Ca   -0.07 0.06 
Cr261    10 2291         1009 I Fe   -0.01 0.03 
Cr261    10 2291         1009 I Mg    0.09 0.06 
Cr261    10 2291         1009 I Mn    0.00 0.04 
Cr261    10 2291         1009 I Na    0.12 0.08 
Cr261    10 2291         1009 I Ni   -0.06 0.05 
Cr261    10 2291         1009 I Si    0.11 0.05 
Cr261    10 2291         1009 I Zr    0.10 0.13 
Cr261    10 2306         1010 I Ba    0.01 0.08 
Cr261    10 2306         1010 I Ca    0.01 0.06 
Cr261    10 2306         1010 I Fe    0.02 0.03 
Cr261    10 2306         1010 I Mg    0.13 0.06 
Cr261    10 2306         1010 I Mn   -0.05 0.04 
Cr261    10 2306         1010 I Na   -0.01 0.08 
Cr261    10 2306         1010 I Ni   -0.09 0.05 
Cr261    10 2306         1010 I Si    0.20 0.05 
Cr261    10 2306         1010 I Zr   -0.14 0.13 
Cr261    10 2307         1011 I Ba    0.02 0.08 
Cr261    10 2307         1011 I Ca    0.02 0.06 
Cr261    10 2307         1011 I Fe   -0.01 0.03 
Cr261    10 2307         1011 I Mg    0.17 0.06 
Cr261    10 2307         1011 I Mn   -0.10 0.04 
Cr261    10 2307         1011 I Na    0.14 0.08 
Cr261    10 2307         1011 I Ni   -0.03 0.05 
Cr261    10 2307         1011 I Si    0.25 0.05 
Cr261    10 2307         1011 I Zr   -0.28 0.13 
Cr261    10 2311         1012 I Ba    0.23 0.08 
Cr261    10 2311         1012 I Ca    0.25 0.06 
Cr261    10 2311         1012 I Fe    0.04 0.03 
Cr261    10 2311         1012 I Mg    0.31 0.06 
Cr261    10 2311         1012 I Mn    0.05 0.04 
Cr261    10 2311         1012 I Na    0.32 0.08 
Cr261    10 2311         1012 I Ni    0.08 0.05 
Cr261    10 2311         1012 I Si    0.29 0.05 
Cr261    10 2311         1012 I Zr    0.13 0.13 
Cr261    10 3027         1013 I Ba    0.00 0.08 
Cr261    10 3027         1013 I Ca    0.07 0.06 
Cr261    10 3027         1013 I Fe    0.01 0.03 
Cr261    10 3027         1013 I Mg    0.17 0.06 
Cr261    10 3027         1013 I Mn   -0.05 0.04 
Cr261    10 3027         1013 I Na    0.13 0.08 
Cr261    10 3027         1013 I Ni   -0.04 0.05 
Cr261    10 3027         1013 I Si    0.23 0.05 
Cr261    10 3027         1013 I Zr    0.04 0.13 
Cr261    10 3029         1014 I Ba    0.01 0.08 
Cr261    10 3029         1014 I Ca   -0.03 0.06 
Cr261    10 3029         1014 I Fe   -0.03 0.03 
Cr261    10 3029         1014 I Mg    0.11 0.06 
Cr261    10 3029         1014 I Mn   -0.04 0.04 
Cr261    10 3029         1014 I Na    0.11 0.08 
Cr261    10 3029         1014 I Ni   -0.07 0.05 
Cr261    10 3029         1014 I Si    0.14 0.05 
Cr261    10 3029         1014 I Zr   -0.06 0.13 
Cr261    10 3709         1015 I Ba    0.02 0.08 
Cr261    10 3709         1015 I Ca   -0.04 0.06 
Cr261    10 3709         1015 I Fe   -0.01 0.03 
Cr261    10 3709         1015 I Mg    0.03 0.06 
Cr261    10 3709         1015 I Mn   -0.04 0.04 
Cr261    10 3709         1015 I Na    0.11 0.08 
Cr261    10 3709         1015 I Ni   -0.10 0.05 
Cr261    10 3709         1015 I Si    0.11 0.05 
Cr261    10 3709         1015 I Zr   -0.03 0.13 
IC2391   11 VXR3          842 B Ca    0.01 0.05 
IC2391   11 VXR3          842 B Fe    0.00 0.08 
IC2391   11 VXR3          842 B Na   -0.02 0.07 
IC2391   11 VXR3          842 B Ni   -0.02 0.07 
IC2391   11 VXR3          842 B Si    0.02 0.08 
IC2391   11 VXR3          842 B Ti    0.00 0.07 
IC2391   11 VXR31         843 B Ca    0.01 0.04 
IC2391   11 VXR31         843 B Fe   -0.02 0.08 
IC2391   11 VXR31         843 B Na    0.02 0.07 
IC2391   11 VXR31         843 B Ni    0.02 0.06 
IC2391   11 VXR31         843 B Si    0.02 0.07 
IC2391   11 VXR31         843 B Ti    0.03 0.08 
IC2391   11 VXR67         844 B Ca   -0.20 0.14 
IC2391   11 VXR67         844 B Fe    0.01 0.08 
IC2391   11 VXR67         844 B Na   -0.31 0.11 
IC2391   11 VXR67         844 B Ni   -0.02 0.08 
IC2391   11 VXR67         844 B Si    0.00 0.13 
IC2391   11 VXR67         844 B Ti   -0.38 0.07 
IC2391   11 VXR70         845 B Ca    0.03 0.07 
IC2391   11 VXR70         845 B Fe   -0.03 0.09 
IC2391   11 VXR70         845 B Na   -0.06 0.09 
IC2391   11 VXR70         845 B Ni    0.02 0.07 
IC2391   11 VXR70         845 B Si    0.04 0.09 
IC2391   11 VXR70         845 B Ti   -0.03 0.08 
IC2391   11 VXR72         846 B Ca    0.03 0.09 
IC2391   11 VXR72         846 B Fe   -0.02 0.07 
IC2391   11 VXR72         846 B Na   -0.12 0.08 
IC2391   11 VXR72         846 B Ni    0.01 0.06 
IC2391   11 VXR72         846 B Si    0.01 0.09 
IC2391   11 VXR72         846 B Ti    0.02 0.07 
IC2391   11 VXR76a        847 B Ca   -0.38 0.14 
IC2391   11 VXR76a        847 B Fe    0.00 0.09 
IC2391   11 VXR76a        847 B Na   -0.34 0.11 
IC2391   11 VXR76a        847 B Ni    0.02 0.12 
IC2391   11 VXR76a        847 B Si    0.06 0.12 
IC2391   11 VXR76a        847 B Ti   -0.34 0.17 
IC2391   11 SHJM2         848 B Ca    0.02 0.06 
IC2391   11 SHJM2         848 B Fe    0.00 0.06 
IC2391   11 SHJM2         848 B Na   -0.03 0.06 
IC2391   11 SHJM2         848 B Ni   -0.03 0.05 
IC2391   11 SHJM2         848 B Si   -0.01 0.08 
IC2391   11 SHJM2         848 B Ti    0.01 0.04 
IC2602   12 R1            834 B Ca   -0.02 0.09 
IC2602   12 R1            834 B Fe   -0.01 0.06 
IC2602   12 R1            834 B Na   -0.14 0.07 
IC2602   12 R1            834 B Ni   -0.01 0.10 
IC2602   12 R1            834 B Si    0.02 0.10 
IC2602   12 R1            834 B Ti   -0.06 0.08 
IC2602   12 R14           835 B Ca    0.01 0.08 
IC2602   12 R14           835 B Fe    0.00 0.07 
IC2602   12 R14           835 B Na   -0.07 0.08 
IC2602   12 R14           835 B Ni   -0.01 0.10 
IC2602   12 R14           835 B Si    0.05 0.11 
IC2602   12 R14           835 B Ti   -0.02 0.09 
IC2602   12 R15           836 B Ca   -0.20 0.09 
IC2602   12 R15           836 B Fe    0.00 0.08 
IC2602   12 R15           836 B Na   -0.34 0.11 
IC2602   12 R15           836 B Ni    0.02 0.09 
IC2602   12 R15           836 B Si    0.03 0.11 
IC2602   12 R15           836 B Ti   -0.40 0.08 
IC2602   12 R66           837 B Ca    0.00 0.05 
IC2602   12 R66           837 B Fe   -0.01 0.07 
IC2602   12 R66           837 B Na   -0.03 0.06 
IC2602   12 R66           837 B Ni   -0.03 0.06 
IC2602   12 R66           837 B Si    0.02 0.07 
IC2602   12 R66           837 B Ti   -0.03 0.06 
IC2602   12 R70           838 B Ca    0.03 0.11 
IC2602   12 R70           838 B Fe    0.00 0.08 
IC2602   12 R70           838 B Na    0.00 0.08 
IC2602   12 R70           838 B Ni   -0.04 0.09 
IC2602   12 R70           838 B Si   -0.04 0.09 
IC2602   12 R70           838 B Ti    0.00 0.06 
IC2602   12 R92           839 B Ca    0.02 0.06 
IC2602   12 R92           839 B Fe   -0.02 0.07 
IC2602   12 R92           839 B Na    0.02 0.06 
IC2602   12 R92           839 B Ni   -0.02 0.07 
IC2602   12 R92           839 B Si   -0.02 0.08 
IC2602   12 R92           839 B Ti    0.01 0.07 
IC2602   12 R95           840 B Ca    0.04 0.09 
IC2602   12 R95           840 B Fe    0.02 0.06 
IC2602   12 R95           840 B Na   -0.13 0.08 
IC2602   12 R95           840 B Ni   -0.05 0.11 
IC2602   12 R95           840 B Si   -0.02 0.09 
IC2602   12 R95           840 B Ti   -0.07 0.11 
IC2602   12 W79           841 B Ca    0.00 0.11 
IC2602   12 W79           841 B Fe   -0.02 0.10 
IC2602   12 W79           841 B Na   -0.12 0.11 
IC2602   12 W79           841 B Ni   -0.03 0.13 
IC2602   12 W79           841 B Si    0.01 0.11 
IC2602   12 W79           841 B Ti    0.02 0.09 
Blanco1  13 W64           820 C Ca   -0.13 0.02 
Blanco1  13 W64           820 C Fe   -0.04 0.02 
Blanco1  13 W64           820 C Mg   -0.13 0.04 
Blanco1  13 W64           820 C Ni   -0.16 0.03 
Blanco1  13 W64           820 C Si   -0.10 0.02 
Blanco1  13 W64           820 C Ti   -0.12 0.03 
Blanco1  13 ZS58          821 C Ca    0.00 0.04 
Blanco1  13 ZS58          821 C Fe   -0.05 0.02 
Blanco1  13 ZS58          821 C Mg   -0.02 0.08 
Blanco1  13 ZS58          821 C Ni   -0.20 0.01 
Blanco1  13 ZS58          821 C Si   -0.11 0.04 
Blanco1  13 ZS58          821 C Ti    0.08 0.03 
Blanco1  13 ZS141         822 C Ca   -0.14 0.04 
Blanco1  13 ZS141         822 C Fe    0.09 0.02 
Blanco1  13 ZS141         822 C Mg   -0.08 0.05 
Blanco1  13 ZS141         822 C Ni   -0.19 0.02 
Blanco1  13 ZS141         822 C Si   -0.14 0.02 
Blanco1  13 ZS141         822 C Ti   -0.09 0.05 
Blanco1  13 W113          823 C Ca   -0.05 0.04 
Blanco1  13 W113          823 C Fe    0.09 0.02 
Blanco1  13 W113          823 C Mg   -0.16 0.02 
Blanco1  13 W113          823 C Ni   -0.12 0.01 
Blanco1  13 W113          823 C Si   -0.13 0.02 
Blanco1  13 W113          823 C Ti   -0.13 0.05 
Blanco1  13 W60           824 C Ca   -0.26 0.05 
Blanco1  13 W60           824 C Fe    0.11 0.03 
Blanco1  13 W60           824 C Mg   -0.20 0.05 
Blanco1  13 W60           824 C Ni   -0.26 0.05 
Blanco1  13 W60           824 C Si   -0.06 0.05 
Blanco1  13 W60           824 C Ti   -0.28 0.12 
Blanco1  13 W63           825 C Ca   -0.07 0.03 
Blanco1  13 W63           825 C Fe    0.05 0.02 
Blanco1  13 W63           825 C Mg   -0.19 0.02 
Blanco1  13 W63           825 C Ni   -0.22 0.03 
Blanco1  13 W63           825 C Si   -0.10 0.04 
Blanco1  13 W63           825 C Ti   -0.17 0.03 
Blanco1  13 W8            826 C Ca   -0.07 0.03 
Blanco1  13 W8            826 C Fe    0.09 0.02 
Blanco1  13 W8            826 C Mg   -0.14 0.05 
Blanco1  13 W8            826 C Ni   -0.12 0.03 
Blanco1  13 W8            826 C Si   -0.06 0.04 
Blanco1  13 W8            826 C Ti   -0.02 0.06 
Blanco1  13 W38           827 C Ca   -0.08 0.03 
Blanco1  13 W38           827 C Fe   -0.03 0.02 
Blanco1  13 W38           827 C Mg   -0.11 0.02 
Blanco1  13 W38           827 C Ni   -0.14 0.04 
Blanco1  13 W38           827 C Si   -0.04 0.04 
Blanco1  13 W38           827 C Ti    0.02 0.10 
Hyades   14 HD4353        700 N Ba    0.39      
Hyades   14 HD4353        700 N Ca    0.05      
Hyades   14 HD4353        700 N Ce    0.13      
Hyades   14 HD4353        700 N Fe    0.16      
Hyades   14 HD4353        700 N Mg   -0.12      
Hyades   14 HD4353        700 N Na   -0.08      
Hyades   14 HD4353        700 N Nd   -0.14      
Hyades   14 HD4353        700 N Si    0.04      
Hyades   14 HD4353        700 N Ti   -0.01      
Hyades   14 HD4353        700 N Zn   -0.13      
Hyades   14 HD4353        700 N Zr   -0.10      
Hyades   14 HD4535        701 N Ba    0.38      
Hyades   14 HD4535        701 N Ca    0.06      
Hyades   14 HD4535        701 N Ce    0.25      
Hyades   14 HD4535        701 N Fe    0.10      
Hyades   14 HD4535        701 N La    1.09      
Hyades   14 HD4535        701 N Mg   -0.04      
Hyades   14 HD4535        701 N Na   -0.03      
Hyades   14 HD4535        701 N Nd   -0.14      
Hyades   14 HD4535        701 N Si    0.07      
Hyades   14 HD4535        701 N Ti    0.07      
Hyades   14 HD4535        701 N Zn   -0.01      
Hyades   14 HD4535        701 N Zr    0.02      
Hyades   14 HD14127       702 N Ba    0.73      
Hyades   14 HD14127       702 N Ca    0.14      
Hyades   14 HD14127       702 N Ce    0.14      
Hyades   14 HD14127       702 N Fe   -0.12      
Hyades   14 HD14127       702 N Mg   -0.01      
Hyades   14 HD14127       702 N Na   -0.09      
Hyades   14 HD14127       702 N Nd   -0.02      
Hyades   14 HD14127       702 N Si    0.02      
Hyades   14 HD14127       702 N Ti    0.10      
Hyades   14 HD14127       702 N Zn   -0.05      
Hyades   14 HD14127       702 N Zr    0.00      
Hyades   14 HD18632       703 N Ba    0.42      
Hyades   14 HD18632       703 N Ca    0.02      
Hyades   14 HD18632       703 N Ce    0.13      
Hyades   14 HD18632       703 N Fe    0.17      
Hyades   14 HD18632       703 N Mg   -0.10      
Hyades   14 HD18632       703 N Na   -0.10      
Hyades   14 HD18632       703 N Nd   -0.14      
Hyades   14 HD18632       703 N Si    0.06      
Hyades   14 HD18632       703 N Ti    0.03      
Hyades   14 HD18632       703 N Zn   -0.14      
Hyades   14 HD18632       703 N Zr   -0.05      
Hyades   14 HD19902       704 N Ba    0.34      
Hyades   14 HD19902       704 N Ca    0.05      
Hyades   14 HD19902       704 N Ce    0.08      
Hyades   14 HD19902       704 N Fe    0.09      
Hyades   14 HD19902       704 N Mg   -0.06      
Hyades   14 HD19902       704 N Na    0.00      
Hyades   14 HD19902       704 N Nd   -0.04      
Hyades   14 HD19902       704 N Si    0.07      
Hyades   14 HD19902       704 N Ti    0.03      
Hyades   14 HD19902       704 N Zn   -0.08      
Hyades   14 HD19902       704 N Zr    0.00      
Hyades   14 HD20430       705 N Ba    0.47      
Hyades   14 HD20430       705 N Ca    0.16      
Hyades   14 HD20430       705 N Ce    0.00      
Hyades   14 HD20430       705 N Fe    0.29      
Hyades   14 HD20430       705 N Mg   -0.05      
Hyades   14 HD20430       705 N Na    0.02      
Hyades   14 HD20430       705 N Nd   -0.22      
Hyades   14 HD20430       705 N Si    0.00      
Hyades   14 HD20430       705 N Ti    0.07      
Hyades   14 HD20430       705 N Zn   -0.11      
Hyades   14 HD20430       705 N Zr    0.11      
Hyades   14 HD20439       706 N Ba    0.45      
Hyades   14 HD20439       706 N Ca    0.13      
Hyades   14 HD20439       706 N Ce   -0.01      
Hyades   14 HD20439       706 N Fe    0.29      
Hyades   14 HD20439       706 N Mg   -0.06      
Hyades   14 HD20439       706 N Na    0.01      
Hyades   14 HD20439       706 N Nd   -0.20      
Hyades   14 HD20439       706 N Si   -0.02      
Hyades   14 HD20439       706 N Ti    0.04      
Hyades   14 HD20439       706 N Zn   -0.03      
Hyades   14 HD20439       706 N Zr   -0.03      
Hyades   14 HD25825       707 N Ba    0.46      
Hyades   14 HD25825       707 N Ca    0.12      
Hyades   14 HD25825       707 N Ce    0.06      
Hyades   14 HD25825       707 N Fe    0.14      
Hyades   14 HD25825       707 N Mg   -0.07      
Hyades   14 HD25825       707 N Na    0.02      
Hyades   14 HD25825       707 N Nd   -0.22      
Hyades   14 HD25825       707 N Si   -0.04      
Hyades   14 HD25825       707 N Ti   -0.03      
Hyades   14 HD25825       707 N Zn   -0.01      
Hyades   14 HD25825       707 N Zr    0.04      
Hyades   14 HD26015B      708 N Ba    0.33      
Hyades   14 HD26015B      708 N Ca   -0.01      
Hyades   14 HD26015B      708 N Ce    0.09      
Hyades   14 HD26015B      708 N Fe    0.17      
Hyades   14 HD26015B      708 N Mg   -0.07      
Hyades   14 HD26015B      708 N Na   -0.04      
Hyades   14 HD26015B      708 N Nd   -0.26      
Hyades   14 HD26015B      708 N Si    0.00      
Hyades   14 HD26015B      708 N Ti   -0.01      
Hyades   14 HD26015B      708 N Zn   -0.09      
Hyades   14 HD26015B      708 N Zr   -0.19      
Hyades   14 HD26257       709 N Ba    0.40      
Hyades   14 HD26257       709 N Ca    0.12      
Hyades   14 HD26257       709 N Ce   -0.07      
Hyades   14 HD26257       709 N Fe    0.11      
Hyades   14 HD26257       709 N Mg   -0.11      
Hyades   14 HD26257       709 N Na    0.00      
Hyades   14 HD26257       709 N Nd   -0.17      
Hyades   14 HD26257       709 N Si    0.09      
Hyades   14 HD26257       709 N Ti    0.03      
Hyades   14 HD26257       709 N Zn   -0.03      
Hyades   14 HD26257       709 N Zr   -0.09      
Hyades   14 HD26736       710 N Ba    0.47      
Hyades   14 HD26736       710 N Ca    0.14      
Hyades   14 HD26736       710 N Ce    0.09      
Hyades   14 HD26736       710 N Fe    0.09      
Hyades   14 HD26736       710 N Mg    0.01      
Hyades   14 HD26736       710 N Na    0.05      
Hyades   14 HD26736       710 N Nd   -0.14      
Hyades   14 HD26736       710 N Si    0.06      
Hyades   14 HD26736       710 N Ti    0.00      
Hyades   14 HD26736       710 N Zn    0.08      
Hyades   14 HD26736       710 N Zr   -0.04      
Hyades   14 HD26756       711 N Ba    0.40      
Hyades   14 HD26756       711 N Ca    0.08      
Hyades   14 HD26756       711 N Ce    0.13      
Hyades   14 HD26756       711 N Fe    0.06      
Hyades   14 HD26756       711 N Mg   -0.03      
Hyades   14 HD26756       711 N Na    0.01      
Hyades   14 HD26756       711 N Nd   -0.13      
Hyades   14 HD26756       711 N Si    0.08      
Hyades   14 HD26756       711 N Ti    0.02      
Hyades   14 HD26756       711 N Zn   -0.08      
Hyades   14 HD26756       711 N Zr    0.04      
Hyades   14 HD26767       712 N Ba    0.38      
Hyades   14 HD26767       712 N Ca    0.13      
Hyades   14 HD26767       712 N Ce    0.04      
Hyades   14 HD26767       712 N Fe    0.12      
Hyades   14 HD26767       712 N La    1.05      
Hyades   14 HD26767       712 N Mg   -0.01      
Hyades   14 HD26767       712 N Na   -0.01      
Hyades   14 HD26767       712 N Nd   -0.17      
Hyades   14 HD26767       712 N Si    0.04      
Hyades   14 HD26767       712 N Ti    0.05      
Hyades   14 HD26767       712 N Zn    0.00      
Hyades   14 HD26767       712 N Zr    0.02      
Hyades   14 HD27250       713 N Ba    0.35      
Hyades   14 HD27250       713 N Ca    0.04      
Hyades   14 HD27250       713 N Ce    0.11      
Hyades   14 HD27250       713 N Fe    0.09      
Hyades   14 HD27250       713 N Mg    0.00      
Hyades   14 HD27250       713 N Na   -0.02      
Hyades   14 HD27250       713 N Nd   -0.13      
Hyades   14 HD27250       713 N Si    0.09      
Hyades   14 HD27250       713 N Ti    0.06      
Hyades   14 HD27250       713 N Zn   -0.09      
Hyades   14 HD27250       713 N Zr   -0.04      
Hyades   14 HD27282       714 N Ba    0.33      
Hyades   14 HD27282       714 N Ca    0.08      
Hyades   14 HD27282       714 N Ce    0.07      
Hyades   14 HD27282       714 N Fe    0.14      
Hyades   14 HD27282       714 N Mg   -0.01      
Hyades   14 HD27282       714 N Na    0.01      
Hyades   14 HD27282       714 N Nd   -0.23      
Hyades   14 HD27282       714 N Si    0.03      
Hyades   14 HD27282       714 N Ti    0.05      
Hyades   14 HD27282       714 N Zn   -0.03      
Hyades   14 HD27282       714 N Zr   -0.05      
Hyades   14 HD27732       715 N Ba    0.37      
Hyades   14 HD27732       715 N Ca    0.08      
Hyades   14 HD27732       715 N Ce    0.11      
Hyades   14 HD27732       715 N Fe    0.10      
Hyades   14 HD27732       715 N La    1.06      
Hyades   14 HD27732       715 N Mg   -0.04      
Hyades   14 HD27732       715 N Na   -0.05      
Hyades   14 HD27732       715 N Nd   -0.16      
Hyades   14 HD27732       715 N Si    0.06      
Hyades   14 HD27732       715 N Ti   -0.04      
Hyades   14 HD27732       715 N Zn   -0.06      
Hyades   14 HD27732       715 N Zr   -0.07      
Hyades   14 HD27771       716 N Ba    0.34      
Hyades   14 HD27771       716 N Ca    0.00      
Hyades   14 HD27771       716 N Ce    0.17      
Hyades   14 HD27771       716 N Fe    0.08      
Hyades   14 HD27771       716 N Mg   -0.07      
Hyades   14 HD27771       716 N Na    0.00      
Hyades   14 HD27771       716 N Nd   -0.11      
Hyades   14 HD27771       716 N Si    0.04      
Hyades   14 HD27771       716 N Ti    0.05      
Hyades   14 HD27771       716 N Zn   -0.01      
Hyades   14 HD27771       716 N Zr   -0.08      
Hyades   14 HD27835       717 N Ba    0.44      
Hyades   14 HD27835       717 N Ca    0.10      
Hyades   14 HD27835       717 N Ce    0.05      
Hyades   14 HD27835       717 N Fe    0.09      
Hyades   14 HD27835       717 N La    1.10      
Hyades   14 HD27835       717 N Mg   -0.06      
Hyades   14 HD27835       717 N Na    0.00      
Hyades   14 HD27835       717 N Nd   -0.16      
Hyades   14 HD27835       717 N Si    0.05      
Hyades   14 HD27835       717 N Ti    0.03      
Hyades   14 HD27835       717 N Zn   -0.08      
Hyades   14 HD27835       717 N Zr   -0.03      
Hyades   14 HD27859       718 N Ba    0.40      
Hyades   14 HD27859       718 N Ca    0.13      
Hyades   14 HD27859       718 N Ce    0.00      
Hyades   14 HD27859       718 N Fe    0.14      
Hyades   14 HD27859       718 N La    0.97      
Hyades   14 HD27859       718 N Mg   -0.05      
Hyades   14 HD27859       718 N Na    0.01      
Hyades   14 HD27859       718 N Nd   -0.22      
Hyades   14 HD27859       718 N Si    0.00      
Hyades   14 HD27859       718 N Ti    0.03      
Hyades   14 HD27859       718 N Zn    0.02      
Hyades   14 HD27859       718 N Zr    0.04      
Hyades   14 HD28099       719 N Ba    0.38      
Hyades   14 HD28099       719 N Ca    0.11      
Hyades   14 HD28099       719 N Ce    0.08      
Hyades   14 HD28099       719 N Fe    0.10      
Hyades   14 HD28099       719 N La    1.06      
Hyades   14 HD28099       719 N Mg   -0.04      
Hyades   14 HD28099       719 N Na    0.02      
Hyades   14 HD28099       719 N Nd   -0.14      
Hyades   14 HD28099       719 N Si    0.05      
Hyades   14 HD28099       719 N Ti    0.04      
Hyades   14 HD28099       719 N Zn   -0.04      
Hyades   14 HD28099       719 N Zr   -0.06      
Hyades   14 HD28258       720 N Ba    0.37      
Hyades   14 HD28258       720 N Ca    0.05      
Hyades   14 HD28258       720 N Ce    0.09      
Hyades   14 HD28258       720 N Fe    0.14      
Hyades   14 HD28258       720 N La    1.04      
Hyades   14 HD28258       720 N Mg   -0.06      
Hyades   14 HD28258       720 N Na   -0.03      
Hyades   14 HD28258       720 N Nd   -0.17      
Hyades   14 HD28258       720 N Si    0.02      
Hyades   14 HD28258       720 N Ti   -0.02      
Hyades   14 HD28258       720 N Zn   -0.09      
Hyades   14 HD28258       720 N Zr   -0.14      
Hyades   14 HD28462       721 N Ba    0.34      
Hyades   14 HD28462       721 N Ca    0.01      
Hyades   14 HD28462       721 N Ce    0.12      
Hyades   14 HD28462       721 N Fe    0.08      
Hyades   14 HD28462       721 N Mg   -0.02      
Hyades   14 HD28462       721 N Na   -0.02      
Hyades   14 HD28462       721 N Nd   -0.12      
Hyades   14 HD28462       721 N Si    0.09      
Hyades   14 HD28462       721 N Ti    0.03      
Hyades   14 HD28462       721 N Zn   -0.08      
Hyades   14 HD28462       721 N Zr   -0.04      
Hyades   14 HD28593       722 N Ba    0.33      
Hyades   14 HD28593       722 N Ca    0.03      
Hyades   14 HD28593       722 N Ce    0.08      
Hyades   14 HD28593       722 N Fe    0.11      
Hyades   14 HD28593       722 N La    1.05      
Hyades   14 HD28593       722 N Mg   -0.07      
Hyades   14 HD28593       722 N Na    0.02      
Hyades   14 HD28593       722 N Nd   -0.17      
Hyades   14 HD28593       722 N Si    0.06      
Hyades   14 HD28593       722 N Ti    0.02      
Hyades   14 HD28593       722 N Zn   -0.08      
Hyades   14 HD28593       722 N Zr   -0.09      
Hyades   14 HD28635       723 N Ba    0.45      
Hyades   14 HD28635       723 N Ca    0.11      
Hyades   14 HD28635       723 N Ce    0.00      
Hyades   14 HD28635       723 N Fe    0.09      
Hyades   14 HD28635       723 N La    1.06      
Hyades   14 HD28635       723 N Mg   -0.05      
Hyades   14 HD28635       723 N Na    0.05      
Hyades   14 HD28635       723 N Nd   -0.17      
Hyades   14 HD28635       723 N Si    0.05      
Hyades   14 HD28635       723 N Ti    0.01      
Hyades   14 HD28635       723 N Zn   -0.09      
Hyades   14 HD28635       723 N Zr   -0.01      
Hyades   14 HD28805       724 N Ba    0.38      
Hyades   14 HD28805       724 N Ca    0.06      
Hyades   14 HD28805       724 N Ce    0.09      
Hyades   14 HD28805       724 N Fe    0.08      
Hyades   14 HD28805       724 N Mg   -0.05      
Hyades   14 HD28805       724 N Na   -0.04      
Hyades   14 HD28805       724 N Nd   -0.14      
Hyades   14 HD28805       724 N Si    0.06      
Hyades   14 HD28805       724 N Ti   -0.04      
Hyades   14 HD28805       724 N Zn   -0.02      
Hyades   14 HD28805       724 N Zr   -0.09      
Hyades   14 HD28878       725 N Ba    0.39      
Hyades   14 HD28878       725 N Ca    0.01      
Hyades   14 HD28878       725 N Ce    0.14      
Hyades   14 HD28878       725 N Fe    0.13      
Hyades   14 HD28878       725 N La    1.06      
Hyades   14 HD28878       725 N Mg   -0.09      
Hyades   14 HD28878       725 N Na   -0.05      
Hyades   14 HD28878       725 N Nd   -0.17      
Hyades   14 HD28878       725 N Si    0.06      
Hyades   14 HD28878       725 N Ti    0.01      
Hyades   14 HD28878       725 N Zn   -0.05      
Hyades   14 HD28878       725 N Zr   -0.08      
Hyades   14 HD28977       726 N Ba    0.32      
Hyades   14 HD28977       726 N Ca    0.03      
Hyades   14 HD28977       726 N Ce    0.12      
Hyades   14 HD28977       726 N Fe    0.13      
Hyades   14 HD28977       726 N La    1.09      
Hyades   14 HD28977       726 N Mg   -0.09      
Hyades   14 HD28977       726 N Na   -0.01      
Hyades   14 HD28977       726 N Nd   -0.12      
Hyades   14 HD28977       726 N Si    0.03      
Hyades   14 HD28977       726 N Ti    0.07      
Hyades   14 HD28977       726 N Zn   -0.14      
Hyades   14 HD28977       726 N Zr   -0.07      
Hyades   14 HD28992       727 N Ba    0.35      
Hyades   14 HD28992       727 N Ca    0.09      
Hyades   14 HD28992       727 N Ce    0.00      
Hyades   14 HD28992       727 N Fe    0.12      
Hyades   14 HD28992       727 N Mg   -0.11      
Hyades   14 HD28992       727 N Na   -0.01      
Hyades   14 HD28992       727 N Nd   -0.19      
Hyades   14 HD28992       727 N Si    0.02      
Hyades   14 HD28992       727 N Ti    0.03      
Hyades   14 HD28992       727 N Zn   -0.05      
Hyades   14 HD28992       727 N Zr    0.00      
Hyades   14 HD29159       728 N Ba    0.45      
Hyades   14 HD29159       728 N Ca    0.05      
